AT&T Messages;Shared how to access	Retrieve those messages
AT&T Wi-Fi Services (AWS);Shared how to access	Use tablet|Troubleshooted the device sent ota activation
ATT Family Map;Shared information/details	Have purchase blockers|Add family map|Make sure location services was|Have her global positioning system|Allow location services|Advised the customer of the family map app|Purchase blocker|Have family map|Have family map on her account|Add a pass code to the account|Have family map app|Have att family maps|Were no subscriptions for family map|Told the customer about family map but the other person|See any family map in the acount
ATT Navigator;Shared information/details	Informed the customer that the navigator|Support navigator|There is no att navigator|Advise customer|Have the att navigator|Advise wont|Let customer|Are no added features on the line|See the navigator on the account
ATT Smart Limits for Wireless;Shared information/details	Make any changes to her smart limits|Was a promotion expiry notice for smart limits|Add smart limits|Used a free trial|Block numbers through the network was smart limits|Block unknown numbers|Advised the customer that smart limits|Need smart limits on the account|Have account owner download smart limits|Restrict data on the myatt app
Accessory Inquiry;Shared how to access	Call the voicemail from his phone
Account Cancelation;Shared information/details	Cancel th account|Do service cancellation|Get the whole plan|Keep the customer|Told the account|Have a different account with a different carrier|Cancel services per customer request customer|Interrupt the port out process|Generate his line|Keep the same number|Lost phone|Activate a new phone num|Make any change on the account|Recover number again|Transfer minutes to her old number|Unenroll his account to auto refill|Activated the plan already|Cancelled this account relocation set expectations|Cant cancel
Account Number Request;Shared information/details	Offered any other help customer declined|Share information|Set pass code for cust|Provide account number to the cx|Change her rate plan back|Maybe look for 3rd party apps|Put any credit card information|Explained no pass code on the account|Retain customer customer declined
Account Passcode;Shared information/details	Change pass code|Have the pass code updated|Use the verified pass code for the payment ivr system|Reset pass code online|Provide pass code on the acct
Account Password;Shared information/details	Provided the info|Changed the pass code|Shared the rate plan expiration date|Change password online|W the process|Gave the account number|Provide the information to the customer|Provided this info|Verified the account properly with the secondary verification process|Get number
Account Status Inquiry;Shared Account Status	Need past due balance|Have the total balance|Pay the past due balance|Have the pass code reset on the acct|Receive his final bill with accelerated installment balance
Activate Device;Shared information/details	Check the service|Purchase an att phone|Activated the number|Activate services|Find imei number activation|Get a mobile hot spot device|Provided him free month of service|Have a sim card|Refund an account unless att error|Downgrade his cell phone plan to 30|Was the line|Verified all services|Made a payment|Activate his service|Activate a number|Unlock device
